Distance,Basis,Volume,Weekly_NY_Upstate_Gasoline_Price,VIX,Total_Grain_P,Total_Silage_P,Total_Oat_P,Total_Soybean_P,rainfall,Contract_Duration,Engaging_Period,Wyne_Basis,Board_Month,future_Price,Lag_Monthly_NY_Gasoline_Avg_P,Lag_Monthly_Wyne_Avg_B,Lag_Monthly_Avg_VIX,Lag_Monthly_Avg_Future_Price
41.77042273,0.32,5000,2.943,12.38,49160000,2093000,682996,8563000,3.41,178,0,0.425,May,3.68,2.5635,0.433571429,14.76928571,3.753571429
41.77042273,0.27,5000,2.943,14.21,49160000,2093000,682996,8563000,1.34,113,4,0.4175,Mar,3.73,2.506096774,0.264274194,17.40129032,3.645483871
41.77042273,0.45,5000,2.943,16.49,49160000,2093000,682996,8563000,1.74,43,15,0.31,Mar,3.71,3.034333333,0.222222222,14.56111111,3.778888889
41.77042273,-0.19,5000,2.549,20.97,40638000,2367000,712000,7626000,1.52,366,57,0.3725,Mar,4.19,2.2172,0.3345,15.574,3.738
41.77042273,0.5,10000,2.417,17.33,49160000,2093000,682996,8563000,2.51,25,61,0.2575,Mar,3.56,2.698181818,0.301818182,18.38181818,3.731363636
41.77042273,-0.08,5000,2.826,13.26,40638000,2367000,712000,7626000,1.22,403,202,0.81,Jul,4.08,2.28945,0.48,14.7305,4.0245
41.77042273,-0.2,5000,2.826,18.23,40638000,2367000,712000,7626000,3.78,243,208,0.23,Mar,4.25,2.337291667,0.368333333,20.11583333,3.987083333
41.77042273,-0.2,5000,2.826,18.23,40638000,2367000,712000,7626000,1.52,215,208,0.3725,Mar,4.36,2.2172,0.3345,15.574,3.738
41.77042273,-0.2,5000,2.826,18.23,40638000,2367000,712000,7626000,1.22,397,208,0.81,Mar,4.31,2.28945,0.48,14.7305,4.0245
41.77042273,-0.15,5000,2.826,18.23,40638000,2367000,712000,7626000,2.93,336,208,0.2325,May,4.4,2.153941176,0.256323529,14.36411765,3.759411765
41.77042273,-0.14,5000,2.826,18.23,40638000,2367000,712000,7626000,1.22,397,208,0.81,Jul,4.34,2.28945,0.48,14.7305,4.0245
41.77042273,-0.14,5000,2.826,18.23,40638000,2367000,712000,7626000,1.22,397,208,0.81,Jul,4.44,2.28945,0.48,14.7305,4.0245
41.77042273,-0.14,5000,2.826,18.23,40638000,2367000,712000,7626000,1.22,397,208,0.81,Jul,4.49,2.28945,0.48,14.7305,4.0245
41.77042273,0.18,5000,2.005,16.92,31131000,2395000,706000,7402000,4.29,504,466,0.675,Jul,4.01,2.373,0.715,11.18521739,3.789130435
41.77042273,0.08,5000,2.324,14.68,31131000,2395000,706000,7402000,5.29,380,529,0.55,May,4.12,2.3695,0.4,12.78666667,3.801
